activeaddresses,difficulty,difficulty30mom,difficulty30rsi,difficulty90mom,hashrate90var,median_transaction_fee30trxUSD,median_transaction_feeUSD,mining_profitability,mining_profitability90rsi,price30smaUSD,price30wmaUSD,price3emaUSD,price3wmaUSD,price7smaUSD,price90wmaUSD,sentinusd90emaUSD,sentinusd90smaUSD,size90trx,transactionvalueUSD,priceUSD
874574,2227847638504.0,636950711246.0,97.54899999999999,1031054944405.0,6.9306404239309e+36,1.9509999999999998,12.664000000000001,1.867,49.982,14909.0,14510.0,13118.0,13075.0,13773.0,13264.0,28371003765,28626320864,0.034,116560.0,9838.0
957141,2227847638504.0,509801805020.0,97.54899999999999,1031054944405.0,7.392982446342899e+36,1.819,12.331,1.5290000000000001,49.056999999999995,14638.0,14241.0,11932.0,11780.0,13261.0,13254.0,28330269145,28800978788,0.035,84022.0,10058.0
784072,2227847638504.0,354742163282.0,97.54899999999999,1031054944405.0,1.0044472184106e+37,1.061,5.142,1.345,48.56,13816.0,13229.0,11215.0,11136.0,11487.0,13278.0,27124200234,29238381968,0.037000000000000005,61095.0,10325.0
848037,2227847638504.0,354742163282.0,97.54899999999999,1002018677028.0,1.0387197773905e+37,0.9259999999999999,5.85,1.474,48.935,13725.0,13054.0,11154.0,11017.0,11537.0,13266.0,26893949575,29307322064,0.037000000000000005,66525.0,10046.0
750794,2460585023618.0,587479548396.0,98.48299999999999,1007745244472.0,1.0974154163731e+37,0.7909999999999999,5.687,1.1740000000000002,48.108000000000004,13597.0,12903.0,11269.0,11190.0,11512.0,13259.0,26642029500,29355029681,0.038,65271.0,9975.0
723781,2603077300219.0,729971824997.0,98.77799999999999,1150237521073.0,1.1007576157598e+37,0.6559999999999999,5.544,1.227,48.263999999999996,13443.0,12741.0,11177.0,11186.0,11444.0,13244.0,26470724182,29467585662,0.038,85553.0,9649.0
778222,2603077300219.0,729971824997.0,98.77799999999999,1150237521073.0,1.1306587658096e+37,0.523,5.114,1.166,48.096000000000004,13341.0,12602.0,11236.0,11239.0,11265.0,13232.0,26226859822,29529562516,0.038,79489.0,9939.0
777110,2603077300219.0,671940845731.0,98.77799999999999,1150237521073.0,1.4493118299904e+37,-0.55,2.559,0.7809999999999999,47.153,11902.0,10807.0,8379.0,8309.0,9294.0,12783.0,24768218633,29084455721,0.038,65810.0,10428.0
849088,2607870187293.0,676733732805.0,98.79,1155030408147.0,1.5192125137781e+37,-0.6559999999999999,2.191,0.6759999999999999,46.861000000000004,11573.0,10481.0,7616.0,7465.0,8733.0,12666.0,24511847494,28880120770,0.038,53713.0,9724.0
694798,2874674234416.0,943537779928.0,99.215,1421834455270.0,1.5373038354109e+37,-0.759,2.517,0.727,47.023,11322.0,10247.0,7774.0,7535.0,8416.0,12573.0,24175090835,28802123396,0.038,43026.0,8927.0
