difficulty30rsi,difficulty90var,fee_to_reward90rsiUSD,hashrate30var,median_transaction_fee7rocUSD,mining_profitability,price30smaUSD,price3wmaUSD,price7wmaUSD,sentinusd90emaUSD,size90trx,top100cap,transactionvalueUSD,priceUSD
88.52799999999999,5.7320986375132e+20,51.913999999999994,5.4429620098114e+33,0.64,1.204,416.36199999999997,420.031,418.68800000000005,1743683672,0.19399999999999998,19.656,4513.0,420.973
88.52799999999999,5.6362227884514e+20,51.018,5.466827346973401e+33,-0.992,1.207,415.565,416.31699999999995,417.42699999999996,1723766597,0.193,19.663,4169.0,421.292
88.52799999999999,5.5696005136653e+20,51.87,5.260479319107001e+33,-0.20199999999999999,1.189,414.908,414.767,416.847,1705817356,0.192,19.647000000000002,4396.0,420.006
89.15899999999999,5.4994065874496e+20,51.54,5.3618733499232e+33,-0.049,1.415,414.361,414.714,416.34,1688196531,0.191,19.579,4269.0,420.314
89.352,5.3335467248474e+20,50.886,5.5120069101646e+33,-0.348,1.3119999999999998,414.202,417.561,416.725,1644894899,0.18899999999999997,19.546,3653.0,418.889
89.352,5.235930243317e+20,50.336999999999996,6.1131105612046e+33,-1.155,1.3090000000000002,414.68800000000005,418.298,417.06199999999995,1628318932,0.188,19.464000000000002,4267.0,420.07
89.352,4.8843345978084e+20,51.056000000000004,5.605134396259001e+33,1.2109999999999999,1.218,415.86800000000005,420.596,419.725,1590179275,0.185,19.43,5308.0,423.23
93.445,3.9900645585452e+20,50.284,6.8995544712701e+33,0.768,1.274,417.38699999999994,423.44800000000004,421.93800000000005,1528469530,0.175,19.317999999999998,5502.0,443.215
94.616,3.9343468699604e+20,50.98,7.3390623931815e+33,1.465,1.103,417.755,424.914,423.31199999999995,1530669782,0.174,19.264,7690.0,445.474
94.616,3.8680928208711e+20,49.88399999999999,6.990773179055e+33,3.071,1.195,418.13800000000003,427.564,425.283,1525818541,0.17300000000000001,19.11,7203.0,445.852
94.616,3.7913024112778e+20,49.442,6.9379487596525e+33,2.133,1.275,418.63,428.23699999999997,426.319,1516875236,0.172,19.109,5861.0,452.60400000000004
