difficulty,difficulty30mom,median_transaction_fee14trxUSD,median_transaction_fee3rocUSD,median_transaction_fee3rsiUSD,median_transaction_feeUSD,mediantransactionvalueUSD,mining_profitability7mom,price3wmaUSD,transactionvalue90smaUSD,priceUSD
31256961.0,9921632.0,0.085,5.079,93.539,0.0479,75.406,78.12899999999999,95.446,1536.0,95.875
31256961.0,9921632.0,0.151,2.628,82.324,0.0477,73.25399999999999,160.254,95.706,1543.0,95.495
34144399.0,12809069.0,0.21,-0.655,77.778,0.0477,48.742,-277.111,95.49700000000001,1543.0,95.37200000000001
37392766.0,16057437.0,0.26,-1.381,50.169,0.0473,44.08,24.980999999999998,94.98200000000001,1535.0,94.551
37392766.0,16057437.0,0.302,-0.037000000000000005,68.658,0.0477,76.32,-319.397,95.14200000000001,1532.0,95.46
37392766.0,16057437.0,0.34,1.594,83.3,0.0484,51.849,-229.888,96.024,1527.0,96.89200000000001
37392766.0,16057437.0,0.375,3.003,86.572,0.0487,48.852,-230.128,96.902,1529.0,97.39
37392766.0,16057437.0,0.401,0.494,46.523999999999994,0.048,37.538000000000004,-51.068000000000005,96.57799999999999,1526.0,95.932
37392766.0,16057437.0,0.413,-2.801,25.368000000000002,0.0471,51.316,-433.583,95.29799999999999,1527.0,94.179
37392766.0,11285379.0,0.413,-4.1160000000000005,19.36,0.0467,46.644,69.553,94.072,1527.0,93.381
37392766.0,11229890.0,0.40399999999999997,-3.016,16.794,0.0465,48.388999999999996,-82.853,93.34200000000001,1515.0,93.038
37392766.0,11229890.0,0.39,-0.201,46.36,0.047,54.588,-48.19,93.571,1518.0,93.98899999999999
39812328.0,13649453.0,0.376,1.6669999999999998,64.97800000000001,0.0475,61.843,-233.34099999999998,94.305,1530.0,94.93799999999999
50810339.0,24647463.0,0.365,3.498,79.916,0.0481,80.457,-352.848,95.45700000000001,1544.0,96.29299999999999
50810339.0,24647463.0,0.35700000000000004,3.1519999999999997,84.682,0.0485,51.663000000000004,-398.879,96.396,1541.0,96.95200000000001
50810339.0,24647463.0,0.349,1.6909999999999998,69.374,0.0483,27.08,-223.679,96.637,1539.0,96.54299999999999
50810339.0,24647463.0,0.342,0.522,73.77,0.0484,19.391,-346.461,96.73700000000001,1547.0,96.796
50810339.0,24647463.0,0.336,-0.027999999999999997,76.37,0.0485,25.583000000000002,-281.603,96.818,1548.0,96.925
50810339.0,24647463.0,0.331,1.505,89.42299999999999,0.049,27.12,-288.286,97.43799999999999,1549.0,97.99600000000001
50810339.0,24647463.0,0.336,4.448,96.891,0.0506,38.614000000000004,-91.789,99.369,1548.0,101.101
50810339.0,23628646.0,0.35600000000000004,8.445,98.68700000000001,0.0526,54.953,79.403,102.588,1557.0,105.11
50810339.0,19553378.0,0.38799999999999996,9.486,99.10799999999999,0.0536,44.345,149.825,105.53200000000001,1553.0,107.292
50810339.0,19553378.0,0.424,4.959,78.70100000000001,0.0531,50.383,13.200999999999999,106.339,1550.0,106.115
56116797.0,24859837.0,0.45799999999999996,0.6559999999999999,72.684,0.0529,35.544000000000004,-76.225,106.15299999999999,1549.0,105.79899999999999
65750060.0,34493099.0,0.49200000000000005,0.34299999999999997,83.706,0.0538,43.381,-194.53599999999997,106.78200000000001,1546.0,107.66
65750060.0,34493099.0,0.526,2.432,87.81,0.0543,54.266999999999996,-83.09,107.867,1544.0,108.695
