activeaddresses30trx,activeaddresses7ema,activeaddresses90std,confirmationtime,confirmationtime3wma,confirmationtime7sma,confirmationtime7wma,confirmationtime90ema,difficulty,fee_to_reward7trxUSD,fee_to_rewardUSD,hashrate30mom,hashrate30std,hashrate30var,hashrate3var,hashrate7std,hashrate90roc,hashrate90rsi,median_transaction_fee30rocUSD,median_transaction_fee3trxUSD,mediantransactionvalue30emaUSD,mediantransactionvalue30wmaUSD,mediantransactionvalue3rocUSD,mediantransactionvalue7rocUSD,mediantransactionvalue7rsiUSD,mediantransactionvalue90trxUSD,mediantransactionvalueUSD,mining_profitability,mining_profitability3sma,price30smaUSD,price3rsiUSD,price7momUSD,sentbyaddress7var,sentinusd90varUSD,sentinusd90wmaUSD,sentinusdUSD,size30rsi,size90mom,size90sma,transactionfeesUSD,transactions3std,category
-0.462,63056.0,33544.0,8.521,8.538,8.777000000000001,8.658,8.713,20177844.0,-1.151,0.5770000000000001,62188872609740.0,31827869929335.0,2.5325332605966e+26,3.3480363850073995e+25,17542276700926.0,203.47400000000002,59.423,-29.834,-1.93,79.791,79.733,-9.714,3.685,47.183,0.8059999999999999,75.736,2292.0,2437.0,107.209,4.053999999999999,-14.388,20732696.0,8930740685911510.0,84969740,47169772.0,46.021,-42116.0,156797.0,0.0599,11010.0,1
-0.469,59915.0,34105.0,9.412,8.966000000000001,8.875,8.817,8.728,21335329.0,-1.6219999999999999,0.759,65295485202669.0,31603904275966.0,2.497016913711e+26,2.0970671286815e+25,20102171949827.0,167.919,60.286,-28.945999999999998,-1.88,78.795,78.611,-20.573,-1.801,38.857,0.797,64.357,1973.0,2213.0,105.98899999999999,13.163,-11.85,20913259.0,9003721323146194.0,83137207,36873230.0,44.732,-46666.0,156279.0,0.0849,15572.0,0
-0.473,62105.0,34090.0,9.172,9.142999999999999,8.814,8.891,8.738,21335329.0,-2.177,0.613,50166524741838.0,30663223094013.0,2.3505831262831003e+26,2.0441215073274e+25,16830851903393.0,168.87900000000002,59.108999999999995,-33.867,-2.123,80.493,80.206,32.797,31.337,64.808,0.7879999999999999,105.117,2033.0,2099.0,104.613,6.265,-12.87,24250926.0,8739268242808850.0,82146192,74052236.0,47.148,-62153.0,155588.0,0.053,6818.0,0
-0.475,62618.0,33738.0,9.412,9.332,8.847999999999999,9.041,8.753,21335329.0,-2.168,0.925,39286516824067.0,30630435310116.0,2.3455589182179998e+26,1.8346583076507002e+25,11970299481953.0,176.301,59.13,-32.973,-2.366,81.693,81.342,30.835,28.169,60.386,0.779,99.089,1929.0,1978.0,103.24799999999999,4.328,-14.043,24583095.0,8457426727139184.0,80916135,60905043.0,47.606,-66920.0,154845.0,0.075,7963.0,0
-0.475,63470.0,33253.0,7.8260000000000005,8.579,8.783999999999999,8.785,8.732999999999999,21335329.0,-2.3930000000000002,0.612,54478106120118.0,31328736465278.0,2.453724321277e+26,3.443965285948e+25,15056105419014.0,223.59,60.193999999999996,-32.335,-2.4659999999999997,84.745,84.36200000000001,100.43700000000001,53.777,71.602,0.772,128.995,2107.0,2023.0,101.95100000000001,3.221,-16.576,25541011.0,8162298670602928.0,79856632,66185980.0,44.486999999999995,-135575.0,153338.0,0.0649,3690.0,0
-0.475,62819.0,33149.0,8.727,8.541,8.799,8.771,8.732999999999999,21335329.0,-2.7489999999999997,0.565,61281535854285.0,32695954775812.0,2.6725636467549e+26,6.810551599398001e+25,15324802444788.0,260.058,60.839,-34.444,-2.634,84.74700000000001,84.44,-19.348,4.632,48.108000000000004,0.764,84.779,1745.0,1927.0,100.57700000000001,1.966,-18.137999999999998,25897688.0,7920528937063138.0,78862551,66755739.0,45.806000000000004,-92834.0,152307.0,0.0521,4020.0,0
-0.474,62242.0,33341.0,7.742000000000001,8.084,8.687000000000001,8.507,8.711,21335329.0,-2.859,0.6970000000000001,47813152532890.0,34692636939282.0,3.0089476445020002e+26,1.370585273019e+25,17334678429783.0,202.202,60.861999999999995,-39.201,-3.2230000000000003,84.044,83.84100000000001,-25.465,-6.696000000000001,43.951,0.757,73.85600000000001,1830.0,1894.0,99.008,0.948,-19.225,19444970.0,7878330396639458.0,78166639,78121324.0,45.113,-68352.0,151547.0,0.0643,1532.0,0
-0.475,60815.0,33585.0,7.7010000000000005,7.885,8.57,8.26,8.689,21335329.0,-2.915,0.637,46701182085509.0,36745982064144.0,3.375667994646e+26,1.2773623404021e+24,17703393895156.0,201.532,61.05,-44.718,-4.291,82.037,81.90899999999999,-58.966,-30.11,36.838,0.748,52.931000000000004,1642.0,1739.0,97.228,0.474,-23.281999999999996,25443663.0,7897565601704826.0,76787683,45930142.0,44.523,-121143.0,150201.0,0.0593,2995.0,1
-0.48,57823.0,33233.0,7.742000000000001,7.728,8.332,8.052999999999999,8.668,21335329.0,-3.3489999999999998,0.397,81851587826944.0,39610985444812.0,3.9225754197728e+26,8.177319106768e+25,26304359211686.0,226.84900000000002,62.505,-39.355,-3.891,80.383,80.256,-33.473,-12.362,38.756,0.7390000000000001,56.401,1573.0,1682.0,95.72,28.965999999999998,-20.078,34526139.0,7712443204377170.0,75405645,44586656.0,43.708,-119051.0,148879.0,0.0426,5464.0,1
-0.48200000000000004,59129.0,32511.0,7.5,7.614,8.093,7.845,8.642000000000001,21335329.0,-3.33,0.682,67291165955293.0,41141651071524.0,4.2315886322276e+26,5.401557532843e+25,24324687350506.0,205.81900000000002,61.48,-33.491,-2.404,79.982,79.842,0.431,-29.436999999999998,48.161,0.73,74.17399999999999,1785.0,1667.0,94.485,50.495,-12.058,29880235.0,6717392069283484.0,74440005,61256824.0,46.003,-84663.0,147938.0,0.0612,7719.0,0
-0.48,61343.0,30221.0,7.784,7.682,7.86,7.768,8.623,21335329.0,-2.927,0.7490000000000001,68638919868362.0,43119754694979.0,4.6482831123879e+26,1.0793819195401e+25,19372230080886.0,190.972,61.891000000000005,-31.568,-1.358,80.818,80.645,75.565,-6.2170000000000005,56.403,0.722,92.929,1654.0,1670.0,93.37,44.832,-10.71,33734753.0,4812654952630190.0,74054376,83822707.0,47.071000000000005,-65174.0,147214.0,0.062,9360.0,1
-0.47700000000000004,62222.0,28465.0,7.385,7.537000000000001,7.797000000000001,7.649,8.596,21335329.0,-2.7760000000000002,0.541,60956686196338.0,43742146098677.0,4.783438363294999e+26,9.7313989015691e+24,15510348805553.0,198.72400000000002,60.93899999999999,-26.976,-0.124,82.624,82.428,92.931,-15.644,62.323,0.7140000000000001,108.816,1892.0,1777.0,92.435,64.57,-5.435,33468550.0,4454591839123795.0,73735541,82089924.0,45.968999999999994,-123540.0,145841.0,0.0514,1365.0,1
