difficulty30ema,difficulty30rsi,difficulty30sma,difficulty30wma,difficulty3ema,difficulty3sma,difficulty3wma,difficulty7ema,difficulty7sma,difficulty7wma,difficulty90mom,difficulty90roc,fee_to_rewardUSD,hashrate7var,hashrate90var,median_transaction_fee30trxUSD,median_transaction_fee7trxUSD,median_transaction_feeUSD,mining_profitability,price90emaUSD,price90wmaUSD,sentinusd90smaUSD,size90trx,top100cap,transactions,transactionvalueUSD,priceUSD
5298746980.0,100.0,5195154452.0,5582701728.0,6118909235.0,6119726089.0,6119726089.0,6063477575.0,6119726089.0,6119726089.0,4330179138.0,241.97099999999998,0.36200000000000004,2.1360454125088e+31,1.2778603507036e+32,-0.654,-0.8320000000000001,0.0488,38.65,575.966,561.717,432897496,0.248,19.124000000000002,72627,4479.0,621.8
5351713374.0,100.0,5257471391.0,5642351511.0,6119317662.0,6119726089.0,6119726089.0,6077539704.0,6119726089.0,6119726089.0,4330179138.0,241.97099999999998,0.359,1.7048594829225e+31,1.3016989418057e+32,-0.6609999999999999,-0.332,0.0517,40.201,574.678,559.2040000000001,431952767,0.247,19.146,68435,6046.0,621.061
5414709338.0,100.0,5326735821.0,5711427603.0,6223734239.0,6189200998.0,6223938453.0,6140192482.0,6149501050.0,6171832271.0,4538603866.0,253.61700000000002,0.355,1.5589948595693e+31,1.3222541501571e+32,-0.664,0.11800000000000001,0.0505,40.705999999999996,573.156,556.512,432660836,0.24600000000000002,19.092,65021,6384.0,617.3
5515621165.0,100.0,5417689978.0,5818015140.0,6601288445.0,6475573185.0,6618759279.0,6349855024.0,6272231987.0,6379167671.0,5189295699.0,289.978,0.304,8.2057959946905e+30,1.3437948905047e+32,-0.665,0.401,0.0485,35.818000000000005,571.225,553.455,433560617,0.245,19.054000000000002,56836,6461.0,617.851
5610022551.0,100.0,5508644136.0,5918734667.0,6790065547.0,6761945372.0,6870394011.0,6507101930.0,6394962925.0,6555820336.0,5189295699.0,289.978,0.317,5.2666582835841e+30,1.3789808333313e+32,-0.6629999999999999,0.5820000000000001,0.0491,34.435,569.461,550.607,430870022,0.244,19.054000000000002,53356,4168.0,622.126
5698333525.0,100.0,5599598294.0,6013586184.0,6884454098.0,6978842650.0,6978842650.0,6625037110.0,6517693862.0,6701790268.0,5189295699.0,289.978,0.244,5.8484790911163e+30,1.4176112727405e+32,-0.66,0.715,0.0501,38.56,567.9630000000001,548.072,425947755,0.242,19.046,48865,4180.0,626.3919999999999
5780947017.0,100.0,5690552451.0,6102569691.0,6931648374.0,6978842650.0,6978842650.0,6713488495.0,6640424799.0,6817077465.0,5189295699.0,289.978,0.292,1.1853801812921e+31,1.4797374470684e+32,-0.654,0.787,0.0499,34.316,566.446,545.58,424190488,0.24,19.04,57939,6198.0,622.21
5858230606.0,100.0,5781506609.0,6185685188.0,6955245512.0,6978842650.0,6978842650.0,6779827034.0,6763155736.0,6901681927.0,5189295699.0,289.978,0.396,1.154957276811e+31,1.502289980057e+32,-0.647,0.784,0.0492,33.61,564.804,543.018,424433658,0.239,18.996,77888,5470.0,618.92
5930528157.0,100.0,5871789984.0,6262932674.0,6967044081.0,6978842650.0,6978842650.0,6829580938.0,6885886673.0,6955603656.0,5189295699.0,289.978,0.353,8.0151459998665e+30,1.5294754122527e+32,-0.639,0.72,0.0487,34.897,563.0840000000001,540.43,423417529,0.237,19.186,73789,4459.0,620.249
5998161350.0,100.0,5937522719.0,6334355427.0,6972943365.0,6978842650.0,6978842650.0,6866896366.0,6978842650.0,6978842650.0,5037415459.0,259.47,0.395,5.2504268334637e+30,1.5499894005498e+32,-0.629,0.634,0.0487,32.911,561.42,537.947,419298049,0.23600000000000002,19.215999999999998,72543,2944.0,618.566
6061431112.0,100.0,6003255455.0,6401537358.0,6975893007.0,6978842650.0,6978842650.0,6894882937.0,6978842650.0,6978842650.0,4784994779.0,218.11,0.3,4.8363152564139e+30,1.5612561843002e+32,-0.62,0.466,0.0465,38.655,559.2959999999999,535.045,418012065,0.235,19.187,72468,3466.0,607.944
6120618953.0,100.0,6068988190.0,6464478467.0,6977367828.0,6978842650.0,6978842650.0,6915872865.0,6978842650.0,6978842650.0,4784994779.0,218.11,0.22399999999999998,6.4549842023667e+30,1.5983528306814e+32,-0.612,0.258,0.0456,30.409000000000002,557.0369999999999,532.05,416091270,0.23399999999999999,19.179000000000002,52012,2902.0,600.002
6175988224.0,100.0,6134720925.0,6523178755.0,6978105239.0,6978842650.0,6978842650.0,6931615311.0,6978842650.0,6978842650.0,4784994779.0,218.11,0.266,6.4589034808075e+30,1.6140056097838e+32,-0.604,0.043,0.0451,34.548,554.705,529.031,409611330,0.23199999999999998,19.182000000000002,52452,2526.0,594.585
6227785283.0,100.0,6200453661.0,6577638221.0,6978473944.0,6978842650.0,6978842650.0,6943422146.0,6978842650.0,6978842650.0,4784994779.0,218.11,0.336,3.638003800203e+30,1.6326541157175e+32,-0.597,-0.19,0.0436,28.393,552.094,525.7819999999999,406829863,0.23,19.215,64394,3827.0,596.029
6279325387.0,100.0,6267780204.0,6630941655.0,7002565419.0,6994780731.0,7002749772.0,6964230833.0,6985673256.0,6990796211.0,4832809024.0,220.28900000000002,0.295,4.2769869993546e+30,1.6266263123206e+32,-0.591,-0.369,0.0443,34.459,549.7040000000001,522.785,405321652,0.22899999999999998,19.135,64886,3811.0,585.359
