activeaddresses,confirmationtime,difficulty30mom,difficulty3var,difficulty7mom,difficulty90var,difficulty90wma,fee_to_reward30stdUSD,fee_to_rewardUSD,hashrate3std,median_transaction_fee3trxUSD,median_transaction_feeUSD,mediantransactionvalueUSD,mining_profitability,mining_profitability90trx,price30emaUSD,price30smaUSD,price30varUSD,price30wmaUSD,price3emaUSD,price3momUSD,price3rocUSD,price3rsiUSD,price3wmaUSD,price7emaUSD,price7rocUSD,price7rsiUSD,price7smaUSD,price90smaUSD,top100cap,top100cap30roc,top100cap30rsi,top100cap30trx,top100cap7trx,top100cap90mom,top100cap90roc,top100cap90rsi,transactions,transactionvalueUSD,category
264236,10.667,31157560173.0,1.8195387665527e+19,10431670019.0,1.4131276129475e+20,77338113895.0,0.273,0.584,4.28750614540727e+16,-0.051,0.0432,99.324,2.0540000000000003,-0.028999999999999998,419.827,426.855,762.238,435.56,429.32199999999995,7.162999999999999,1.685,62.981,429.43300000000005,430.264,-4.896,50.258,425.93699999999995,349.653,19.532,-2.7939999999999996,42.483000000000004,-0.034,-0.10099999999999999,-0.6970000000000001,-3.445,47.72,123957,3327.0,0
378897,9.931000000000001,31157560173.0,4.91222698905148e+18,10431670019.0,1.5178072820268e+20,78057028113.0,0.273,0.8590000000000001,3.27817600628429e+16,0.152,0.0433,74.207,2.248,-0.027999999999999997,420.69199999999995,429.23199999999997,617.4169999999999,435.972,431.281,4.253,0.991,65.888,431.60900000000004,431.00800000000004,1.124,51.437,426.625,351.814,19.527,-2.483,42.355,-0.035,-0.083,-0.6940000000000001,-3.432,47.696999999999996,148893,3010.0,0
322323,9.931000000000001,31157560173.0,-6291456.0,10431670019.0,1.6179072559273e+20,78765425332.0,0.278,0.6609999999999999,6.42893374772199e+16,0.106,0.0429,91.521,2.016,-0.027000000000000003,421.245,431.542,452.20599999999996,435.974,430.276,3.852,0.9059999999999999,44.636,431.092,430.57300000000004,2.877,46.265,428.341,353.931,19.514,-2.55,42.032,-0.036000000000000004,-0.068,-0.7020000000000001,-3.4730000000000003,47.64,142463,2697.0,0
359733,7.956,31157560173.0,-8388608.0,10431670019.0,1.7134275346491e+20,79463305550.0,0.28,0.6759999999999999,1.18999950249197e+17,0.113,0.0432,93.149,2.314,-0.026000000000000002,421.92800000000005,433.44300000000004,341.23,435.99199999999996,431.04699999999997,-0.44,-0.102,57.755,431.20599999999996,430.885,1.817,50.028,429.441,356.028,19.554000000000002,-1.986,43.426,-0.037000000000000005,-0.052000000000000005,-0.6659999999999999,-3.293,47.836999999999996,181173,2536.0,0
371034,9.172,30997067085.0,-10485760.0,10431670019.0,1.8043681181921e+20,80150668767.0,0.27899999999999997,0.816,6.66177596764698e+16,0.121,0.0432,110.589,2.025,-0.026000000000000002,422.593,434.728,286.966,435.914,431.644,-1.0,-0.231,60.104,431.605,431.224,1.681,50.695,430.462,358.105,19.562,-1.874,43.681000000000004,-0.038,-0.037000000000000005,-0.643,-3.1830000000000003,47.873000000000005,182214,3294.0,0
341777,10.213,24777959915.0,-8388608.0,10431670019.0,1.8907290065563e+20,80827514984.0,0.27899999999999997,0.856,9.47058267095265e+16,0.04,0.043,114.29799999999999,2.045,-0.025,423.06,435.92400000000004,230.86599999999999,435.598,430.73699999999997,0.5589999999999999,0.13,40.708,430.965,430.875,0.196,46.553000000000004,430.582,360.173,19.458,-2.483,40.997,-0.039,-0.032,-0.807,-3.98,47.408,171949,3335.0,0
359906,9.796,24777959915.0,-8388608.0,4701597755.0,1.9725101997418e+20,81493844200.0,0.28300000000000003,0.998,8.65920648421329e+16,0.509,0.0448,118.68299999999999,2.187,-0.025,424.665,437.67800000000005,177.678,436.374,439.341,16.127,3.735,87.213,439.289,435.14300000000003,5.295,68.859,433.801,362.44300000000004,19.454,-2.324,40.909,-0.039,-0.032,-0.8009999999999999,-3.9560000000000004,47.393,190087,3777.0,0
360597,8.324,24777959915.0,-10485760.0,0.0,2.0497116977485e+20,82149656417.0,0.284,0.747,9.1974047794941e+16,0.9440000000000001,0.0455,114.43,2.33,-0.025,426.61300000000006,438.921,172.49400000000003,437.48199999999997,447.095,22.609,5.231,91.171,448.37800000000004,440.069,5.226,73.733,437.028,364.78,19.38,-3.247,39.083,-0.04,-0.04,-0.866,-4.276,47.06,181234,2990.0,0
399868,9.536,24777959915.0,-12582912.0,0.0,2.1223335005765e+20,82794951632.0,0.27699999999999997,0.795,7.70260336279204e+16,0.8909999999999999,0.045,74.476,2.066,-0.025,428.116,440.065,157.02,438.191,448.50199999999995,20.079,4.671,68.431,451.22900000000004,442.529,3.847,65.211,439.409,367.048,19.375999999999998,-3.3310000000000004,38.973,-0.040999999999999995,-0.049,-0.865,-4.273,47.04,179817,2116.0,0
374094,8.229,24777959915.0,-16777216.0,0.0,2.1903756082257e+20,83429729847.0,0.273,0.636,2.04667926236397e+16,0.535,0.0444,85.17,2.301,-0.025,429.167,440.477,155.342,438.471,446.455,-3.5380000000000003,-0.79,48.308,447.98199999999997,442.999,3.5260000000000002,56.699,441.57199999999995,369.245,19.406,-3.278,40.141,-0.042,-0.054000000000000006,-0.78,-3.864,47.195,161142,3189.0,0
391385,8.471,24777959915.0,-16777216.0,0.0,2.2538380206961e+20,84053991062.0,0.272,0.838,6.1262415560598e+16,0.33299999999999996,0.0447,108.896,2.125,-0.025,430.329,440.98199999999997,154.197,438.903,446.814,-7.676,-1.6880000000000002,57.691,446.708,444.043,3.556,59.778999999999996,443.765,371.465,19.304000000000002,-3.676,37.624,-0.043,-0.065,-0.8740000000000001,-4.331,46.728,191026,4270.0,0
388756,8.471,24777959915.0,-16777216.0,0.0,2.3127207379878e+20,84667735277.0,0.26899999999999996,0.8109999999999999,4.32653872968141e+16,0.163,0.0446,108.444,2.1519999999999997,-0.025,431.31,441.30800000000005,153.873,439.19699999999995,446.176,-4.371,-0.972,49.688,445.895,444.416,3.076,56.982,445.665,373.62300000000005,19.412,-2.948,41.631,-0.044000000000000004,-0.066,-0.76,-3.767,47.286,194704,2920.0,0
