activeaddresses,activeaddresses30wma,activeaddresses7trx,confirmationtime,confirmationtime30sma,confirmationtime3ema,confirmationtime3wma,confirmationtime7wma,confirmationtime90ema,confirmationtime90wma,fee_to_reward3stdUSD,fee_to_reward7emaUSD,fee_to_reward7smaUSD,fee_to_rewardUSD,hashrate30mom,hashrate30trx,hashrate7std,median_transaction_feeUSD,mediantransactionvalue30emaUSD,mediantransactionvalue90trxUSD,mediantransactionvalueUSD,mining_profitability,price30rocUSD,price30rsiUSD,price3momUSD,price3rocUSD,price3rsiUSD,price3trxUSD,price7momUSD,price7rocUSD,price7rsiUSD,priceUSD,size3sma,size90mom,size90roc,size90sma,top100cap,top100cap90rsi,transactions,transactions3var,transactions7var,transactions90std,transactions90var,transactionvalueUSD,category
415309,514862.0,0.204,10.511,9.947000000000001,9.8,9.776,9.532,9.692,9.712,0.267,1.185,1.238,1.005,-3.69705510697986e+18,0.304,7.55337828597339e+18,0.127,392.94,-0.5760000000000001,341.26099999999997,0.324,8.86,54.343999999999994,-59.653,-0.805,75.298,1.916,1100.0,17.588,76.958,7353.0,604989.0,113852.0,24.989,666240.0,19.116,53.648,184666,363742282.0,697557404.0,43489.0,472829278,25496.0,1
384041,507357.0,-0.45799999999999996,7.912000000000001,9.892999999999999,8.856,9.017999999999999,9.065,9.652000000000001,9.673,0.449,1.051,1.2,0.6459999999999999,-1.05596012633184e+18,0.301,6.94334138051253e+18,0.102,387.89599999999996,-0.5770000000000001,314.759,0.43700000000000006,16.815,55.477,56.256,0.76,82.507,1.459,1113.0,17.558,79.51100000000001,7455.0,526756.0,-268670.0,-42.632,663255.0,19.12,53.691,166947,598335203.0,617422008.0,43539.0,473904427,25937.0,1
584758,513050.0,-0.49,8.675,9.882,8.765,8.727,8.894,9.631,9.652000000000001,0.49200000000000005,1.099,1.157,1.244,7.97243501837451e+18,0.303,6.60192826714414e+18,0.154,388.699,-0.578,400.337,0.35600000000000004,24.969,57.865,251.035,3.3789999999999996,91.105,1.4669999999999999,1144.0,17.506,84.06200000000001,7681.0,546234.0,-94361.0,-11.765,662207.0,19.124000000000002,53.733999999999995,229314,688561062.0,649898139.0,42376.0,448938829,32469.0,1
578233,517923.0,-0.26,9.057,9.902999999999999,8.911,8.738999999999999,8.936,9.618,9.638,0.696,1.192,1.19,1.47,-2.04939857080215e+18,0.305,4.43072183079611e+18,0.156,392.914,-0.578,454.029,0.38,33.504,61.528999999999996,715.34,9.728,96.074,1.995,1179.0,17.121,88.96799999999999,8068.0,606629.0,-136446.0,-15.380999999999998,660691.0,19.107,53.53,259199,1477020824.0,866769656.0,44228.0,489028376,36811.0,1
644234,526644.0,0.25,8.136000000000001,9.869,8.523,8.532,8.749,9.586,9.605,0.235,1.195,1.155,1.203,1.18369286926848e+18,0.309,4.40458409446499e+18,0.166,393.538,-0.579,402.597,0.43700000000000006,32.597,63.121,799.1039999999999,10.719000000000001,97.2,2.356,841.668,11.354000000000001,90.59,8254.0,754351.0,70599.0,9.617,661475.0,19.105,53.506,250031,156262171.0,948692959.0,45416.0,515653610,33141.0,0
510977,526435.0,0.392,8.727,9.831,8.625,8.585,8.714,9.567,9.586,0.28300000000000003,1.182,1.129,1.145,7.29986635615383e+18,0.314,4.49526317103277e+18,0.133,393.712,-0.579,396.228,0.38299999999999995,31.55,62.333,518.4169999999999,6.749,86.23700000000001,2.102,800.4110000000001,10.818,86.22,8199.0,725595.0,-190408.0,-23.454,659359.0,19.078,53.183,231514,132598971.0,963236577.0,45885.0,526362076,31121.0,0
604287,532233.0,0.629,8.623,9.718,8.624,8.576,8.642000000000001,9.546,9.565,0.185,1.133,1.1,0.9840000000000001,4.47337764441894e+18,0.318,4.58080663281235e+18,0.0955,393.411,-0.58,389.042,0.418,30.895,59.826,-47.098,-0.584,55.692,1.347,591.3240000000001,7.959,72.916,8021.0,722439.0,28151.0,3.948,659672.0,19.057000000000002,52.92,229230,86753061.0,969867807.0,46339.0,536834465,34074.0,1
462708,528630.0,0.436,9.931000000000001,9.743,9.277999999999999,9.294,8.924,9.555,9.573,0.192,1.079,1.087,0.9159999999999999,6.49686299626104e+18,0.321,4.08978989427065e+18,0.11,388.97,-0.58,324.582,0.363,33.656,61.262,-74.306,-0.9,69.931,0.998,827.015,11.247,76.661,8180.0,652348.0,73678.0,14.148,660491.0,19.067999999999998,53.042,188093,398094741.0,935184049.0,46240.0,534539643,28564.0,1
403083,521158.0,-0.086,8.471,9.708,8.874,8.982999999999999,8.861,9.531,9.549,0.212,0.992,1.099,0.733,1.1276464253502e+19,0.32799999999999996,4.7486265192882e+18,0.10099999999999999,384.05400000000003,-0.581,312.776,0.36700000000000005,38.251999999999995,61.492,6.196000000000001,0.076,72.096,0.787,750.3510000000001,10.065,77.251,8206.0,584061.0,-199180.0,-32.348,658278.0,18.918,51.255,168237,645184395.0,915079583.0,46527.0,541193561,32136.0,0
525741,521795.0,-0.303,10.745999999999999,9.726,9.81,9.852,9.347000000000001,9.558,9.575,0.606,1.1059999999999999,1.128,1.4469999999999998,2.58661393748271e+18,0.332,5.08957344575792e+18,0.14400000000000002,385.767,-0.581,410.598,0.34700000000000003,27.576,60.568999999999996,120.735,1.505,56.825,0.501,461.023,6.002000000000001,71.964,8142.0,579424.0,169821.0,30.464000000000002,660165.0,18.909000000000002,51.145,230790,681130262.0,918333290.0,47039.0,553161325,30804.0,0
