activeaddresses,difficulty90mom,fee_to_rewardUSD,hashrate3mom,median_transaction_feeUSD,mining_profitability,price30emaUSD,price3wmaUSD,price7wmaUSD,price90emaUSD,transactionvalueUSD,priceUSD
473540,45030247297.0,4.433,-1.2071328841702e+17,0.12,0.628,618.876,639.1569999999999,638.0509999999999,605.428,5079.0,638.715
474941,45030247297.0,3.8360000000000003,1.15634226711046e+17,0.11199999999999999,0.687,620.048,638.054,638.062,606.122,6354.0,637.034
425182,45030247297.0,3.841,1.43002621626904e+17,0.114,0.5429999999999999,620.861,635.124,636.784,606.706,6157.0,632.653
545527,45030247297.0,5.065,-1.12890304920322e+17,0.126,0.716,621.384,631.538,634.75,607.195,5735.0,628.962
515509,45030247297.0,3.5810000000000004,-1.83345941550459e+16,0.11800000000000001,0.726,622.019,630.714,633.5269999999999,607.7230000000001,7546.0,631.236
447836,44042763721.0,3.4560000000000004,2.93386230412705e+17,0.11599999999999999,0.5660000000000001,623.278,636.001,635.065,608.466,3998.0,641.524
409201,40125745534.0,3.617,2.49893441248424e+17,0.11599999999999999,0.6779999999999999,625.238,645.879,639.556,609.4590000000001,6406.0,653.664
531408,40125745534.0,4.345,8304870322029568.0,0.11800000000000001,0.655,626.872,650.087,642.774,610.363,10712.0,650.557
562438,40125745534.0,5.398,-3.69384840141382e+17,0.131,0.6609999999999999,628.663,653.116,646.59,611.336,8584.0,654.64
561011,40125745534.0,6.693,-1.03665671744241e+17,0.14300000000000002,0.725,631.012,659.174,652.385,612.5169999999999,6574.0,665.07
643112,40125745534.0,5.2010000000000005,-6069061782555904.0,0.136,0.787,634.319,671.934,661.323,614.05,7299.0,682.275
499703,40125745534.0,4.149,1.64654554141184e+17,0.141,0.685,637.612,680.948,669.128,615.617,4272.0,685.3560000000001
460352,40125745534.0,3.782,2.00438895494174e+17,0.141,0.72,641.981,694.832,679.9939999999999,617.589,4613.0,705.335
408766,40125745534.0,2.898,1.15699320912355e+17,0.132,0.775,646.033,701.7310000000001,688.444,619.505,4545.0,704.7860000000001
515181,42761947865.0,3.99,1.29705382110517e+17,0.126,0.633,649.439,701.9,693.58,621.249,5218.0,698.831
539566,51725035788.0,4.2010000000000005,-6.00517884231168e+16,0.128,0.737,654.0,710.4680000000001,702.314,623.422,5389.0,720.1210000000001
509816,51725035788.0,4.567,-3.33374837087648e+17,0.126,0.773,658.569,718.926,709.8860000000001,625.65,12914.0,724.827
513862,51725035788.0,3.9189999999999996,-2.01456503790727e+17,0.12300000000000001,0.764,662.797,723.679,715.1419999999999,627.814,18160.0,724.0989999999999
474308,51725035788.0,5.499,-1.61426521567898e+17,0.13699999999999998,0.64,665.1189999999999,711.567,712.577,629.374,16600.0,698.7919999999999
478145,52072647855.0,3.861,5.59731620929615e+16,0.124,0.795,667.5419999999999,704.955,710.505,630.985,17125.0,702.682
464241,52726976451.0,3.573,-1397054129167104.0,0.128,0.736,670.196,705.028,710.025,632.693,17148.0,708.671
531494,52726976451.0,4.766,2.37007759872485e+17,0.127,0.705,672.3689999999999,705.273,708.206,634.257,11474.0,703.872
583441,52726976451.0,4.056,3.12536301893317e+17,0.114,0.7759999999999999,674.523,705.6160000000001,706.68,635.828,8338.0,705.7610000000001
544983,52726976451.0,4.361000000000001,-5.76516166885115e+16,0.121,0.7509999999999999,677.735,714.7189999999999,710.303,637.773,7225.0,724.306
525704,52726976451.0,3.773,1.55788184328848e+17,0.113,0.754,680.09,716.18,711.427,639.4540000000001,4629.0,714.235
500894,52726976451.0,3.449,1.37069393560204e+17,0.11,0.705,682.306,716.0160000000001,712.954,641.102,3913.0,714.44
506675,52726976451.0,3.045,2.19513475382323e+17,0.11199999999999999,0.741,683.998,711.457,712.448,642.5840000000001,2937.0,708.5419999999999
469471,51136332077.0,3.4130000000000003,-8.75637285622377e+16,0.11,0.6459999999999999,684.7810000000001,703.322,708.6310000000001,643.761,3582.0,696.1360000000001
561487,37244704547.0,3.565,-1.2315373865873e+17,0.111,0.7759999999999999,685.8710000000001,700.9730000000001,706.6460000000001,645.034,4010.0,701.676
569386,37244704547.0,4.012,-5.67278257920684e+16,0.11199999999999999,0.716,687.424,704.885,706.806,646.46,4453.0,709.94
548689,37244704547.0,3.5860000000000003,1.71786509849728e+17,0.11199999999999999,0.743,689.633,714.419,709.745,648.113,4870.0,721.6519999999999
550422,37244704547.0,4.29,1.41856321670199e+17,0.126,0.715,693.048,730.158,718.008,650.189,4290.0,742.568
