activeaddresses30mom,confirmationtime30ema,confirmationtime3ema,confirmationtime7wma,confirmationtime90ema,hashrate30roc,hashrate3std,hashrate7trx,hashrate90mom,hashrate90roc,hashrate90rsi,median_transaction_fee3trxUSD,median_transaction_fee7rocUSD,median_transaction_feeUSD,mediantransactionvalue7rsiUSD,mediantransactionvalue90smaUSD,mediantransactionvalue90trxUSD,mediantransactionvalueUSD,mining_profitability,mining_profitability3roc,mining_profitability3sma,mining_profitability3wma,mining_profitability7std,price3rsiUSD,price7momUSD,price7varUSD,sentbyaddress30var,sentinusdUSD,size30rsi,size30std,size30trx,size3mom,top100cap,category
-23881,10.022,9.427999999999999,9.634,10.026,12.780999999999999,4.03888362085516e+16,0.35600000000000004,4.31543945500743e+16,12.338,51.843999999999994,-0.281,-3.199,0.0225,42.083999999999996,66.158,-0.2,64.398,2.1390000000000002,-11.216,2.38,2.358,0.39799999999999996,27.229,-7.432,0.9209999999999999,328241416,222535590.0,48.364,102808.0,0.11800000000000001,-76477.0,20.552,1
14097,9.967,9.3,9.461,10.007,9.418,3.67969593821378e+16,0.44,1.3865981952514e+16,4.15,50.656000000000006,-0.128,-0.557,0.0226,47.913000000000004,66.206,-0.195,77.56,2.5610000000000004,12.967,2.478,2.449,0.38799999999999996,56.136,-1.2670000000000001,0.428,306660795,256124759.0,48.927,103137.0,0.114,-49632.0,20.59,1
-9928,9.94,9.418,9.441,9.997,20.19,3.6718799515713e+16,0.527,-1.56586878834431e+16,-4.046,51.243,0.159,2.343,0.0229,60.992,66.789,-0.18899999999999997,115.141,2.344,-14.251,2.3480000000000003,2.3819999999999997,0.371,84.06200000000001,5.254,2.314,294414175,293959292.0,50.567,103080.0,0.111,132124.0,20.609,0
76451,9.847999999999999,8.969,9.169,9.965,9.077,2.36296800339749e+16,0.607,4.61428871915349e+16,14.056,51.321000000000005,0.287,1.3840000000000001,0.0229,57.025,67.141,-0.183,106.21700000000001,2.5989999999999998,21.503,2.501,2.508,0.38299999999999995,79.206,3.13,3.654,345289141,302116772.0,52.907,107481.0,0.113,134333.0,20.62,1
7833,9.901,9.818,9.492,9.98,1.183,1.15596355405654e+16,0.7070000000000001,5.69899708949196e+16,17.382,51.583,0.325,1.9240000000000002,0.023,54.443999999999996,67.556,-0.177,100.64200000000001,2.026,-20.901,2.323,2.27,0.48,82.87899999999999,4.338,4.78,357357394,292522865.0,51.787,109029.0,0.11699999999999999,86933.0,20.633000000000003,1
44936,9.916,9.979,9.667,9.982999999999999,-12.13,5.54134346513943e+16,0.506,-7826948191941184.0,-2.376,49.931000000000004,0.33399999999999996,2.635,0.0231,50.618,68.044,-0.171,92.65899999999999,2.559,9.168,2.394,2.388,0.484,87.52600000000001,5.92,5.038,366058402,316216784.0,52.453,109860.0,0.125,59590.0,20.627,1
39147,9.861,9.517999999999999,9.581,9.963,-1.62,5.17232478035999e+16,0.355,2.81528495140366e+16,8.599,50.787,0.307,2.522,0.0231,44.553999999999995,68.476,-0.165,79.41199999999999,2.592,-0.289,2.392,2.4859999999999998,0.44,89.053,5.678999999999999,4.564,360106543,244618171.0,48.825,107342.0,0.128,-115339.0,20.642,1
48805,9.852,9.624,9.629,9.958,3.918,5.19859226818038e+16,0.374,5.07873741599279e+16,15.187999999999999,51.518,0.39899999999999997,3.865,0.0234,38.553000000000004,68.449,-0.16,64.657,2.253,11.232999999999999,2.468,2.417,0.40700000000000003,96.226,8.691,4.3180000000000005,356321876,307433332.0,49.922,106090.0,0.13,-52185.0,20.645,1
44325,9.862,9.812000000000001,9.743,9.959,10.715,2.49171862963621e+16,0.36200000000000004,4.2424976544823e+16,13.19,50.972,0.521,4.243,0.0236,52.02,68.702,-0.154,91.012,2.343,-8.433,2.396,2.354,0.392,97.839,9.591000000000001,4.905,401350844,351733900.0,53.361000000000004,111065.0,0.13699999999999998,33724.0,20.633000000000003,1
15551,10.013,11.008,10.378,10.008,-14.595,5.14703388694548e+16,0.154,-8920331790424064.0,-2.6860000000000004,49.937,0.8540000000000001,5.377999999999999,0.0242,56.317,69.086,-0.14800000000000002,101.152,2.222,-14.251,2.273,2.2680000000000002,0.408,99.259,12.341,17.112000000000002,356800464,456262060.0,55.18899999999999,116619.0,0.153,198628.0,20.664,1
72042,9.955,10.061,10.145,9.988999999999999,-6.388999999999999,3.63077663588274e+16,-0.08199999999999999,-1.59620601316518e+16,-4.6339999999999995,50.07,1.419,9.427999999999999,0.0251,65.282,69.928,-0.141,126.211,3.035,34.686,2.533,2.6489999999999996,0.611,99.697,21.614,50.778999999999996,402855767,474174468.0,52.981,118455.0,0.171,104231.0,20.663,0
15318,9.908,9.646,9.92,9.972000000000001,13.829,5.88503430198768e+16,-0.032,6.27405498609106e+16,19.284000000000002,51.533,1.401,8.052,0.0248,56.476000000000006,70.572,-0.135,109.89200000000001,2.513,7.256,2.59,2.638,0.513,79.706,18.504,59.121,405802671,364091487.0,52.056999999999995,119722.0,0.18899999999999997,-28514.0,20.656,0
20299,9.901,9.721,9.888,9.968,16.824,5.60515264640265e+16,0.131,5.29748181093199e+16,15.823,51.525,1.095,7.3229999999999995,0.0247,44.864,70.995,-0.128,83.052,2.363,6.316,2.637,2.525,0.519,72.462,16.884,54.339,406658140,457493745.0,53.051,121979.0,0.21,-57867.0,20.81,0
30396,9.956,10.234,10.105,9.985,-7.9079999999999995,4.0076086106121e+16,0.128,2.60580892883238e+16,8.16,50.451,0.541,5.272,0.0243,41.945,71.373,-0.122,75.267,2.3680000000000003,-21.984,2.414,2.39,0.514,42.32,12.169,36.395,398313753,268473283.0,50.448,115633.0,0.226,-71046.0,20.849,1
36433,10.062000000000001,10.923,10.479000000000001,10.021,-8.055,5.75174546531373e+16,-0.067,-3.1242144514423e+16,-8.95,49.766999999999996,0.18899999999999997,4.21,0.0243,37.356,71.421,-0.11599999999999999,62.666000000000004,2.385,-5.098,2.372,2.375,0.494,45.299,9.832,21.857,401303175,239297941.0,51.093,115234.0,0.24,-24566.0,20.849,1
12154,10.02,10.167,10.236,10.008,5.808,2.546643483323e+16,-0.196,-3.92490612638904e+16,-10.235,50.418,0.13,4.246,0.0246,49.196000000000005,71.61399999999999,-0.11,85.67299999999999,2.7489999999999997,16.364,2.501,2.5639999999999996,0.52,62.199,10.005,9.175,341713778,273545765.0,55.071999999999996,126362.0,0.261,73329.0,20.816,0
5552,10.038,10.227,10.232000000000001,10.014,18.394000000000002,3.41171397803935e+16,-0.21,-2.78153003070678e+16,-7.189,50.78,0.08800000000000001,1.3219999999999998,0.0245,43.312,71.744,-0.10400000000000001,71.499,2.401,1.41,2.512,2.5140000000000002,0.474,55.143,3.197,6.805,337255880,283286536.0,52.751999999999995,127519.0,0.282,81431.0,20.828000000000003,0
9848,9.986,9.729,10.032,9.996,3.7889999999999997,2.7190253735925e+16,-0.08800000000000001,2.26813548199886e+16,6.393,51.226000000000006,-0.033,-3.051,0.0243,42.83,71.96300000000001,-0.099,70.355,2.523,5.816,2.5580000000000003,2.52,0.258,36.898,-7.654,3.852,325621651,279411243.0,48.498000000000005,129479.0,0.294,-74287.0,20.828000000000003,0
-31314,9.953,9.601,9.889,9.985,13.09,1.65876123800602e+16,0.066,-1.12314241430122e+16,-2.9019999999999997,51.181999999999995,-0.136,-2.333,0.0243,41.92,72.064,-0.094,68.443,2.463,-10.402000000000001,2.463,2.4730000000000003,0.256,30.909000000000002,-5.792999999999999,2.73,359888412,231723003.0,47.716,133273.0,0.297,-230409.0,20.831999999999997,1
29971,9.914,9.476,9.707,9.971,11.662,6099248926502450.0,0.24,1.96217384574425e+16,5.401,51.358000000000004,-0.157,-1.9080000000000001,0.0243,49.674,72.467,-0.08900000000000001,80.325,2.452,2.13,2.48,2.468,0.243,35.799,-4.721,1.229,365088911,368698274.0,49.544,133740.0,0.29600000000000004,-104745.0,20.831999999999997,1
