difficulty,fee_to_rewardUSD,hashrate3std,mediantransactionvalue90smaUSD,mediantransactionvalueUSD,mining_profitability7rsi,price30wmaUSD,price3wmaUSD,price7wmaUSD,price90momUSD,sentinusd30varUSD,transactionfeesUSD,priceUSD
49692386355.0,0.457,4.0076086106121e+16,71.373,75.267,47.756,234.985,245.36900000000003,245.035,-18.796,5165134759020624.0,0.0367,243.00099999999998
49692386355.0,0.418,2.7190253735925e+16,71.96300000000001,70.355,51.498999999999995,237.524,244.21599999999998,244.518,-5.751,4485389411446896.0,0.0352,243.21400000000003
49692386355.0,0.43799999999999994,1.65876123800602e+16,72.064,68.443,49.556999999999995,238.015,243.162,243.86,-4.8839999999999995,4522523359137440.0,0.0364,242.511
49692386355.0,0.47,6099248926502450.0,72.467,80.325,49.153999999999996,238.50799999999998,242.738,243.463,-8.54,4660578043012528.0,0.0379,242.731
52699842409.0,0.617,3.33041065192783e+16,86.77799999999999,102.556,40.328,268.513,243.446,252.072,-3.3169999999999997,3523193057947056.0,0.0467,231.748
52699842409.0,0.684,2.53847675921332e+16,86.81700000000001,100.94200000000001,35.973,265.819,235.99099999999999,246.15200000000002,-4.128,3616316461209088.0,0.0508,232.887
52699842409.0,0.56,1.71058956528982e+16,86.831,82.089,50.372,263.259,232.98,241.486,-6.551,3602417438260880.0,0.0477,233.452
54207364887.0,0.565,3.37640304774784e+16,86.939,58.619,39.325,260.559,231.55599999999998,237.04,-10.005,3620296267977488.0,0.0488,229.84799999999998
54256630328.0,0.614,4.02817528273671e+16,86.815,60.678000000000004,36.204,257.92400000000004,230.168,233.699,-9.335,3789412484445008.0,0.0502,229.287
54256630328.0,0.532,4.24807176278899e+16,88.10700000000001,59.507,46.917,242.905,228.55700000000002,225.576,-2.181,4121857079509296.0,0.0458,230.11700000000002
54256630328.0,0.518,4.15026134510624e+16,87.665,70.795,46.799,241.27200000000002,229.483,226.865,2.3569999999999998,4801494558390976.0,0.0456,229.65900000000002
54256630328.0,0.698,2.26775535048417e+16,87.338,76.852,47.261,239.701,229.30200000000002,227.924,4.572,4463908702920528.0,0.0496,228.792
55936109548.0,0.64,1.89263007327785e+16,87.803,84.001,46.781000000000006,234.412,228.403,228.49200000000002,3.905,3950009097971744.0,0.0553,229.058
56957648455.0,0.753,2.23334031028572e+16,87.535,40.338,41.635,233.62099999999998,230.255,229.28099999999998,7.068,4396030233694336.0,0.0521,231.93400000000003
56957648455.0,0.605,4955876950056976.0,87.338,59.806000000000004,44.748999999999995,233.43400000000003,235.34599999999998,231.95,13.682,4693954449688768.0,0.0494,239.717
56957648455.0,0.777,3.20379012672526e+16,86.91,76.555,59.519,233.382,238.827,234.46400000000003,11.056,4876905959333648.0,0.057,240.53
56957648455.0,0.725,1.10825926712825e+16,86.897,106.895,55.753,233.638,241.451,238.80900000000003,10.662,4891480211195744.0,0.0517,240.46200000000002
56957648455.0,0.647,6.23740190063465e+16,86.81700000000001,85.45,51.898,233.62099999999998,239.989,239.418,7.97,4889412189403312.0,0.0531,238.53900000000002
56957648455.0,0.956,7.2249640459814e+16,86.23700000000001,27.27,43.618,233.75,239.548,239.982,9.084,4861993932652656.0,0.0508,239.916
56957648455.0,0.855,5.70439590155452e+16,85.9,34.27,41.958,233.82299999999998,238.785,239.707,4.5569999999999995,5252861359948128.0,0.0503,238.114
56957648455.0,0.6679999999999999,7.28582467303697e+16,85.09200000000001,18.351,56.021,233.597,235.666,237.83700000000002,-3.009,5563222946717968.0,0.0404,232.61700000000002
56957648455.0,0.816,5.62643424566141e+16,84.303,30.079,42.301,233.28599999999997,232.334,235.62099999999998,-11.597999999999999,5536739697337936.0,0.0432,230.218
56957648455.0,0.718,5.52180006348775e+16,83.34299999999999,39.88,51.722,233.044,230.585,233.757,-20.715,5516343561776496.0,0.0408,230.15200000000002
56957648455.0,0.731,2.26724334154737e+16,82.461,30.494,41.036,232.771,229.43900000000002,232.00400000000002,-19.599,5286091356678272.0,0.0357,228.705
57320908602.0,0.748,4.59995021291025e+16,81.539,0.0917,52.198,232.68900000000002,229.937,231.166,-16.766,4492346619622960.0,0.0241,230.68599999999998
59335351234.0,0.687,4.57376644560035e+16,81.096,35.358000000000004,47.486000000000004,232.808,231.53400000000002,231.19799999999998,-9.958,4285654657955888.0,0.0367,233.043
59335351234.0,0.6920000000000001,3.3166152207587e+16,81.061,59.52,41.349,232.831,231.923,231.112,-11.800999999999998,4159793530630176.0,0.0439,231.588
59335351234.0,0.6609999999999999,5.53593539763019e+16,80.798,61.996,50.577,232.815,231.507,231.097,-14.690999999999999,4318918709474048.0,0.045,230.94
59335351234.0,0.705,6.25031876265439e+16,81.255,100.984,51.507,232.463,228.84,229.97099999999998,-14.524000000000001,4493372682726432.0,0.0466,228.68900000000002
59335351234.0,0.643,5.14647978236322e+16,81.6,99.52,49.943000000000005,232.423,229.43400000000003,230.012,-12.107000000000001,3786517706029088.0,0.0448,230.40400000000002
59335351234.0,0.69,1.60301349504815e+16,81.932,110.16,44.0,232.47799999999998,231.03599999999997,230.452,-10.492,2989732873923840.0,0.045,232.239
59335351234.0,0.6579999999999999,2.11981751844266e+16,82.429,106.67,54.669,232.69099999999997,233.46099999999998,231.6,-11.095,2855509593294864.0,0.0499,235.295
59335351234.0,0.6759999999999999,3.12461406391293e+16,82.49700000000001,74.749,43.044,232.80200000000002,234.16299999999998,232.356,-15.689,2810147924452976.0,0.0507,234.051
59335351234.0,0.588,3.58936963709767e+16,82.04899999999999,76.111,51.727,232.85299999999998,233.937,232.864,-19.494,2783955359276752.0,0.0473,233.40900000000002
59335351234.0,0.731,5.32579302086159e+16,80.992,118.08200000000001,53.956,233.132,235.37400000000002,234.213,-25.517,2870182696433040.0,0.045,237.125
59335351234.0,0.626,6.7938800040325e+16,81.433,125.514,55.685,233.44799999999998,236.912,235.44,-22.118000000000002,3009370253155744.0,0.0464,237.937
59335351234.0,0.72,7.13351178026577e+16,81.138,109.67,42.403,233.678,237.266,236.06900000000002,-20.703000000000003,3091881924736000.0,0.0454,236.86599999999999
59999898066.0,0.769,3.17138348729431e+16,81.441,127.82799999999999,48.701,233.892,237.06099999999998,236.475,-19.202,3287508341697680.0,0.0509,236.899
60813224039.0,0.746,6.77399772649471e+16,81.971,112.46700000000001,53.871,234.14,237.30700000000002,236.921,-20.014,3731903124930784.0,0.0441,237.726
60813224039.0,0.595,4.70396380134469e+16,81.094,78.666,48.218999999999994,234.41,237.916,237.445,-26.129,3817818429616304.0,0.0433,238.38099999999997
60813224039.0,0.504,5.78100667555724e+16,80.458,80.727,47.916000000000004,234.68400000000003,238.47799999999998,237.917,-33.147,4003723515488688.0,0.0447,238.794
60813224039.0,0.607,2.21121650225467e+16,80.109,102.943,49.815,234.93200000000002,238.69,238.179,-28.930999999999997,3834161879628416.0,0.0445,238.72400000000002
60813224039.0,0.722,1.77866981588838e+16,79.80199999999999,123.10700000000001,46.801,235.45,240.94099999999997,239.487,-25.426,4202066408980976.0,0.0435,243.136
